
============================================================
  HEAT Training — Dataset: WIKI
  Device: cpu
============================================================

  [data] WIKI: 12,554 entities, 24 relations
  [data] Loading quadruples...
  [data] Train: 539,286  Valid: 67,538  Test: 63,110
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 12,554  |  Relations: 24  |  Train: 539,286
  Batch 490/527 | Loss 3.9395 | 12260s elapsed
  Batch 500/527 | Loss 3.9379 | 12781s elapsed
  Batch 510/527 | Loss 3.9358 | 13003s elapsed
  Batch 520/527 | Loss 3.9343 | 13225s elapsed
Epoch 002/5 | Loss 3.9331 | Time 13371.1s
  ↳ Valid  MRR: 0.5217 | H@1: 0.4730 | H@3: 0.5575 | H@10: 0.6025
  ✓ Best model saved (MRR=0.5217)
  Batch 10/527 | Loss 3.7584 | 363s elapsed
  Batch 20/527 | Loss 3.7624 | 584s elapsed
  Batch 30/527 | Loss 3.7682 | 807s elapsed
  Batch 40/527 | Loss 3.7676 | 1030s elapsed
  Batch 50/527 | Loss 3.7640 | 1251s elapsed
  Batch 60/527 | Loss 3.7616 | 1470s elapsed
  Batch 70/527 | Loss 3.7575 | 1692s elapsed
  Batch 80/527 | Loss 3.7538 | 1910s elapsed
  Batch 90/527 | Loss 3.7498 | 2131s elapsed
  Batch 100/527 | Loss 3.7493 | 2353s elapsed
  Batch 110/527 | Loss 3.7510 | 2575s elapsed
  Batch 120/527 | Loss 3.7487 | 2796s elapsed
  Batch 130/527 | Loss 3.7447 | 3018s elapsed
  Batch 140/527 | Loss 3.7457 | 3237s elapsed
  Batch 150/527 | Loss 3.7433 | 3458s elapsed
  Batch 160/527 | Loss 3.7417 | 3678s elapsed
  Batch 170/527 | Loss 3.7413 | 3898s elapsed
  Batch 180/527 | Loss 3.7392 | 4118s elapsed
  Batch 190/527 | Loss 3.7392 | 4340s elapsed
  Batch 200/527 | Loss 3.7398 | 4563s elapsed
  Batch 210/527 | Loss 3.7399 | 4782s elapsed
  Batch 220/527 | Loss 3.7405 | 5070s elapsed
  Batch 230/527 | Loss 3.7400 | 5292s elapsed
  Batch 240/527 | Loss 3.7398 | 5512s elapsed
  Batch 250/527 | Loss 3.7396 | 5736s elapsed
  Batch 260/527 | Loss 3.7388 | 5957s elapsed
  Batch 270/527 | Loss 3.7372 | 6174s elapsed
  Batch 280/527 | Loss 3.7361 | 6390s elapsed
  Batch 290/527 | Loss 3.7360 | 6604s elapsed
  Batch 300/527 | Loss 3.7343 | 6820s elapsed
  Batch 310/527 | Loss 3.7350 | 7038s elapsed
  Batch 320/527 | Loss 3.7333 | 7254s elapsed
  Batch 330/527 | Loss 3.7334 | 7470s elapsed
  Batch 340/527 | Loss 3.7327 | 7686s elapsed
  Batch 350/527 | Loss 3.7321 | 7901s elapsed
  Batch 360/527 | Loss 3.7312 | 8117s elapsed
  Batch 370/527 | Loss 3.7310 | 8333s elapsed
  Batch 380/527 | Loss 3.7307 | 8551s elapsed
  Batch 390/527 | Loss 3.7312 | 8767s elapsed
  Batch 400/527 | Loss 3.7304 | 8983s elapsed
  Batch 410/527 | Loss 3.7302 | 9201s elapsed
  Batch 420/527 | Loss 3.7295 | 9415s elapsed
  Batch 430/527 | Loss 3.7282 | 9630s elapsed
  Batch 440/527 | Loss 3.7279 | 9846s elapsed
  Batch 450/527 | Loss 3.7273 | 10062s elapsed
  Batch 460/527 | Loss 3.7270 | 10278s elapsed
  Batch 470/527 | Loss 3.7255 | 10494s elapsed
  Batch 480/527 | Loss 3.7247 | 10711s elapsed
  Batch 490/527 | Loss 3.7239 | 10926s elapsed
  Batch 500/527 | Loss 3.7231 | 11142s elapsed
  Batch 510/527 | Loss 3.7218 | 11365s elapsed
  Batch 520/527 | Loss 3.7212 | 11588s elapsed
Epoch 003/5 | Loss 3.7213 | Time 11736.7s
  ↳ Valid  MRR: 0.4865 | H@1: 0.4335 | H@3: 0.5270 | H@10: 0.5835
  Batch 10/527 | Loss 3.6279 | 223s elapsed
  Batch 20/527 | Loss 3.6202 | 446s elapsed
  Batch 30/527 | Loss 3.6187 | 668s elapsed
  Batch 40/527 | Loss 3.6197 | 892s elapsed
  Batch 50/527 | Loss 3.6224 | 1117s elapsed
  Batch 60/527 | Loss 3.6238 | 1339s elapsed
  Batch 70/527 | Loss 3.6219 | 1561s elapsed
  Batch 80/527 | Loss 3.6208 | 1784s elapsed
  Batch 90/527 | Loss 3.6177 | 2008s elapsed
  Batch 100/527 | Loss 3.6180 | 2230s elapsed
  Batch 110/527 | Loss 3.6184 | 2456s elapsed
  Batch 120/527 | Loss 3.6197 | 2687s elapsed
  Batch 130/527 | Loss 3.6202 | 2911s elapsed
  Batch 140/527 | Loss 3.6206 | 3134s elapsed
  Batch 150/527 | Loss 3.6227 | 3355s elapsed
  Batch 160/527 | Loss 3.6219 | 3578s elapsed
  Batch 170/527 | Loss 3.6226 | 3801s elapsed
  Batch 180/527 | Loss 3.6209 | 4022s elapsed
  Batch 190/527 | Loss 3.6200 | 4242s elapsed
  Batch 200/527 | Loss 3.6208 | 4465s elapsed
  Batch 210/527 | Loss 3.6193 | 4687s elapsed
  Batch 220/527 | Loss 3.6200 | 4910s elapsed
  Batch 230/527 | Loss 3.6199 | 5130s elapsed
  Batch 240/527 | Loss 3.6197 | 5351s elapsed
  Batch 250/527 | Loss 3.6196 | 5569s elapsed
  Batch 260/527 | Loss 3.6190 | 5789s elapsed
