
============================================================
  HEAT Training — Dataset: ICEWS14
  Device: cpu
============================================================

  [data] ICEWS14: 12,498 entities, 260 relations
  [data] Loading quadruples...
  [data] Train: 323,895  Valid: 341,409  Test: 341,409
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 12,498  |  Relations: 260  |  Train: 323,895
  Batch 30/317 | Loss 9.4864 | 680s elapsed
  Batch 40/317 | Loss 9.4910 | 911s elapsed
  Batch 50/317 | Loss 9.4944 | 1141s elapsed
  Batch 60/317 | Loss 9.4928 | 1368s elapsed
  Batch 70/317 | Loss 9.4946 | 1594s elapsed
  Batch 80/317 | Loss 9.5038 | 1819s elapsed
  Batch 90/317 | Loss 9.4924 | 2046s elapsed
  Batch 100/317 | Loss 9.4895 | 2268s elapsed
  Batch 110/317 | Loss 9.4873 | 2496s elapsed
  Batch 120/317 | Loss 9.4887 | 2722s elapsed
  Batch 130/317 | Loss 9.4880 | 2949s elapsed
  Batch 140/317 | Loss 9.4887 | 3176s elapsed
  Batch 150/317 | Loss 9.4888 | 3410s elapsed
  Batch 160/317 | Loss 9.4882 | 3636s elapsed
  Batch 170/317 | Loss 9.4854 | 3866s elapsed
  Batch 180/317 | Loss 9.4864 | 4090s elapsed
  Batch 190/317 | Loss 9.4878 | 4323s elapsed
  Batch 200/317 | Loss 9.4842 | 4555s elapsed
  Batch 210/317 | Loss 9.4811 | 4791s elapsed
  Batch 220/317 | Loss 9.4794 | 5029s elapsed
  Batch 230/317 | Loss 9.4787 | 5266s elapsed
  Batch 240/317 | Loss 9.4770 | 5504s elapsed
  Batch 250/317 | Loss 9.4758 | 5742s elapsed
  Batch 260/317 | Loss 9.4777 | 5973s elapsed
  Batch 270/317 | Loss 9.4753 | 6207s elapsed
  Batch 280/317 | Loss 9.4738 | 6440s elapsed
  Batch 290/317 | Loss 9.4740 | 6674s elapsed
  Batch 300/317 | Loss 9.4713 | 6904s elapsed
  Batch 310/317 | Loss 9.4698 | 7136s elapsed
Epoch 004/5 | Loss 9.4693 | Time 7283.9s
  ↳ Valid  MRR: 0.1622 | H@1: 0.0980 | H@3: 0.1705 | H@10: 0.2830
  Batch 10/317 | Loss 9.3570 | 227s elapsed
  Batch 20/317 | Loss 9.3481 | 455s elapsed
  Batch 30/317 | Loss 9.3514 | 685s elapsed
  Batch 40/317 | Loss 9.3433 | 916s elapsed
  Batch 50/317 | Loss 9.3388 | 1148s elapsed
  Batch 60/317 | Loss 9.3317 | 1379s elapsed
  Batch 70/317 | Loss 9.3304 | 1609s elapsed
  Batch 80/317 | Loss 9.3318 | 1842s elapsed
  Batch 90/317 | Loss 9.3342 | 2072s elapsed
  Batch 100/317 | Loss 9.3295 | 2303s elapsed
  Batch 110/317 | Loss 9.3281 | 2542s elapsed
  Batch 120/317 | Loss 9.3265 | 2784s elapsed
  Batch 130/317 | Loss 9.3267 | 3028s elapsed
  Batch 140/317 | Loss 9.3266 | 3260s elapsed
  Batch 150/317 | Loss 9.3273 | 3491s elapsed
  Batch 160/317 | Loss 9.3273 | 3724s elapsed
  Batch 170/317 | Loss 9.3249 | 3961s elapsed
  Batch 180/317 | Loss 9.3239 | 4202s elapsed
  Batch 190/317 | Loss 9.3229 | 4437s elapsed
  Batch 200/317 | Loss 9.3204 | 4673s elapsed
  Batch 210/317 | Loss 9.3188 | 4902s elapsed
  Batch 220/317 | Loss 9.3204 | 5131s elapsed
  Batch 230/317 | Loss 9.3209 | 5360s elapsed
  Batch 240/317 | Loss 9.3210 | 5592s elapsed
  Batch 250/317 | Loss 9.3202 | 5820s elapsed
  Batch 260/317 | Loss 9.3201 | 6049s elapsed
  Batch 270/317 | Loss 9.3195 | 6282s elapsed
  Batch 280/317 | Loss 9.3204 | 6514s elapsed
  Batch 290/317 | Loss 9.3189 | 6748s elapsed
  Batch 300/317 | Loss 9.3197 | 6981s elapsed
  Batch 310/317 | Loss 9.3211 | 7204s elapsed
Epoch 005/5 | Loss 9.3201 | Time 7342.8s
  ↳ Valid  MRR: 0.1709 | H@1: 0.1085 | H@3: 0.1860 | H@10: 0.2825

Training done. Best valid MRR: 0.1897
Results saved to results/ICEWS14/
