
============================================================
  HEAT Training — Dataset: GDELT
  Device: cpu
============================================================

  [data] GDELT: 7,691 entities, 240 relations
  [data] Loading quadruples...
  [data] Train: 1,734,399  Valid: 238,765  Test: 305,241
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 7,691  |  Relations: 240  |  Train: 1,734,399
  Batch 1010/1694 | Loss 11.5955 | 34764s elapsed
  Batch 1020/1694 | Loss 11.5905 | 34963s elapsed
  Batch 1030/1694 | Loss 11.5852 | 35160s elapsed
  Batch 1040/1694 | Loss 11.5808 | 35363s elapsed
  Batch 1050/1694 | Loss 11.5761 | 35562s elapsed
  Batch 1060/1694 | Loss 11.5713 | 35767s elapsed
  Batch 1070/1694 | Loss 11.5667 | 35973s elapsed
  Batch 1080/1694 | Loss 11.5622 | 36184s elapsed
  Batch 1090/1694 | Loss 11.5578 | 36390s elapsed
  Batch 1100/1694 | Loss 11.5535 | 36593s elapsed
  Batch 1110/1694 | Loss 11.5484 | 36798s elapsed
  Batch 1120/1694 | Loss 11.5440 | 36994s elapsed
  Batch 1130/1694 | Loss 11.5399 | 37198s elapsed
  Batch 1140/1694 | Loss 11.5353 | 37399s elapsed
  Batch 1150/1694 | Loss 11.5309 | 37601s elapsed
  Batch 1160/1694 | Loss 11.5265 | 37801s elapsed
  Batch 1170/1694 | Loss 11.5220 | 38002s elapsed
  Batch 1180/1694 | Loss 11.5175 | 38203s elapsed
  Batch 1190/1694 | Loss 11.5140 | 38404s elapsed
  Batch 1200/1694 | Loss 11.5104 | 38610s elapsed
  Batch 1210/1694 | Loss 11.5068 | 38816s elapsed
  Batch 1220/1694 | Loss 11.5033 | 39020s elapsed
  Batch 1230/1694 | Loss 11.4994 | 39230s elapsed
  Batch 1240/1694 | Loss 11.4960 | 39429s elapsed
  Batch 1250/1694 | Loss 11.4924 | 39641s elapsed
  Batch 1260/1694 | Loss 11.4882 | 39849s elapsed
  Batch 1270/1694 | Loss 11.4844 | 40054s elapsed
  Batch 1280/1694 | Loss 11.4805 | 40267s elapsed
  Batch 1290/1694 | Loss 11.4770 | 40481s elapsed
  Batch 1300/1694 | Loss 11.4725 | 40686s elapsed
  Batch 1310/1694 | Loss 11.4686 | 40900s elapsed
  Batch 1320/1694 | Loss 11.4651 | 41090s elapsed
  Batch 1330/1694 | Loss 11.4613 | 45172s elapsed
  Batch 1340/1694 | Loss 11.4576 | 46971s elapsed
  Batch 1350/1694 | Loss 11.4543 | 47175s elapsed
  Batch 1360/1694 | Loss 11.4510 | 47379s elapsed
  Batch 1370/1694 | Loss 11.4478 | 47593s elapsed
  Batch 1380/1694 | Loss 11.4441 | 47798s elapsed
  Batch 1390/1694 | Loss 11.4408 | 48007s elapsed
  Batch 1400/1694 | Loss 11.4377 | 48218s elapsed
  Batch 1410/1694 | Loss 11.4341 | 49267s elapsed
  Batch 1420/1694 | Loss 11.4307 | 49476s elapsed
  Batch 1430/1694 | Loss 11.4274 | 49680s elapsed
  Batch 1440/1694 | Loss 11.4239 | 49885s elapsed
  Batch 1450/1694 | Loss 11.4202 | 50093s elapsed
  Batch 1460/1694 | Loss 11.4172 | 50312s elapsed
  Batch 1470/1694 | Loss 11.4140 | 50519s elapsed
  Batch 1480/1694 | Loss 11.4108 | 50731s elapsed
